Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
SVR,3489.5238426095902,5268.441408588702,3.3178480827679526,11.639595605000538,51.2396694214876
Naive,3511.438016528926,5288.655674754758,3.3548928541407292,11.71269214594521,0.8264462809917356
XGBoost,3873.032998944117,5491.299306750083,3.6007083744554325,12.918822139016873,56.19834710743802
"ARIMAX(1,1,1)",3564.758217336039,5606.189215392505,3.3956827216882077,11.890546089051698,44.62809917355372
Ridge,3735.4822187689983,5659.936309274546,3.5178730831174425,12.460010126661228,52.066115702479344
ElasticNet,3740.6940820568257,5665.106694630385,3.5222200386850844,12.477394728043832,54.54545454545454
Lasso,3794.2382683457827,5686.596100836347,3.5699699158383273,12.655995793264294,56.19834710743802
kNN,3991.049752066116,6196.45195386057,3.7493129780378074,13.312476787304925,57.85123966942148
RandomForest,4126.667033138722,6223.060800464214,3.8547825906762943,13.764839453368369,57.85123966942148
LightGBM,4566.517311723615,6793.130965434203,4.2818674947374635,15.231996464006906,56.19834710743802
